feature_id	simulated_effect	nominal_log2_fold_change
ENSG90000000378	batch	0.65
ENSG90000000379	batch	0.65
ENSG90000000380	batch	0.65
ENSG90000000381	batch	0.65
ENSG90000000382	batch	0.65
ENSG90000000383	batch	0.65
ENSG90000000384	batch	0.65
ENSG90000000385	batch	0.65
ENSG90000000386	batch	0.65
ENSG90000000387	batch	0.65
ENSG90000000388	batch	0.65
ENSG90000000389	batch	0.65
ENSG90000000390	batch	0.65
ENSG90000000391	batch	0.65
ENSG90000000392	batch	0.65
ENSG90000000393	batch	0.65
ENSG90000000394	batch	0.65
ENSG90000000395	batch	0.65
ENSG90000000396	batch	0.65
ENSG90000000397	batch	0.65
ENSG90000000398	batch	0.65
ENSG90000000399	batch	0.65
ENSG90000000400	batch	0.65
ENSG90000000401	batch	0.65
ENSG90000000402	batch	0.65
ENSG90000000403	batch	0.65
ENSG90000000404	batch	0.65
ENSG90000000405	batch	0.65
ENSG90000000406	batch	0.65
ENSG90000000407	batch	0.65
ENSG90000000408	batch	0.65
ENSG90000000409	batch	0.65
ENSG90000000410	batch	0.65
ENSG90000000411	batch	0.65
ENSG90000000412	batch	0.65
ENSG90000000413	batch	0.65
ENSG90000000414	batch	0.65
ENSG90000000415	batch	0.65
ENSG90000000416	batch	0.65
ENSG90000000417	batch	0.65
ENSG90000000418	batch	0.65
ENSG90000000419	batch	0.65
ENSG90000000420	batch	0.65
ENSG90000000421	batch	0.65
ENSG90000000422	batch	0.65
ENSG90000000423	batch	0.65
ENSG90000000424	batch	0.65
ENSG90000000425	batch	0.65
ENSG90000000426	batch	0.65
ENSG90000000427	batch	0.65
ENSG90000000428	batch	0.65
ENSG90000000429	batch	0.65
ENSG90000000430	batch	0.65
ENSG90000000431	sex	0.7
ENSG90000000432	sex	0.7
ENSG90000000433	sex	0.7
ENSG90000000434	sex	0.7
ENSG90000000435	sex	0.7
ENSG90000000436	sex	0.7
ENSG90000000437	sex	0.7
ENSG90000000438	sex	0.7
ENSG90000000439	sex	0.7
ENSG90000000440	sex	0.7
ENSG90000000441	sex	0.7
ENSG90000000442	sex	0.7
ENSG90000000443	sex	0.7
ENSG90000000444	sex	0.7
ENSG90000000445	sex	0.7
ENSG90000000446	sex	0.7
ENSG90000000447	sex	0.7
ENSG90000000448	sex	0.7
ENSG90000000449	sex	0.7
ENSG90000000450	sex	0.7
ENSG90000000451	sex	0.7
ENSG90000000452	sex	0.7
ENSG90000000453	sex	0.7
ENSG90000000454	sex	0.7
ENSG90000000455	sex	0.7
ENSG90000000456	sex	0.7
ENSG90000000457	sex	0.7
ENSG90000000458	sex	0.7
ENSG90000000459	sex	0.7
ENSG90000000460	sex	0.7
ENSG90000000461	sex	0.7
ENSG90000000462	sex	0.7
ENSG90000000463	sex	0.7
ENSG90000000464	sex	0.7
ENSG90000000465	sex	0.7
ENSG90000000466	sex	0.7
ENSG90000000467	sex	0.7
ENSG90000000468	sex	0.7
ENSG90000000469	sex	0.7
ENSG90000000470	sex	0.7
ENSG90000000471	treatment_down	-1.2
ENSG90000000472	treatment_down	-1.2
ENSG90000000473	treatment_down	-1.2
ENSG90000000474	treatment_down	-1.2
ENSG90000000475	treatment_down	-1.2
ENSG90000000476	treatment_down	-1.2
ENSG90000000477	treatment_down	-1.2
ENSG90000000478	treatment_down	-1.2
ENSG90000000479	treatment_down	-1.2
ENSG90000000480	treatment_down	-1.2
ENSG90000000481	treatment_down	-1.2
ENSG90000000482	treatment_down	-1.2
ENSG90000000483	treatment_down	-1.2
ENSG90000000484	treatment_down	-1.2
ENSG90000000485	treatment_down	-1.2
ENSG90000000486	treatment_down	-1.2
ENSG90000000487	treatment_down	-1.2
ENSG90000000488	treatment_down	-1.2
ENSG90000000489	treatment_down	-1.2
ENSG90000000490	treatment_down	-1.2
ENSG90000000491	treatment_down	-1.2
ENSG90000000492	treatment_down	-1.2
ENSG90000000493	treatment_down	-1.2
ENSG90000000494	treatment_down	-1.2
ENSG90000000495	treatment_down	-1.2
ENSG90000000496	treatment_down	-1.2
ENSG90000000497	treatment_down	-1.2
ENSG90000000498	treatment_down	-1.2
ENSG90000000499	treatment_down	-1.2
ENSG90000000500	treatment_down	-1.2
ENSG90000000501	treatment_down	-1.2
ENSG90000000502	treatment_down	-1.2
ENSG90000000503	treatment_down	-1.2
ENSG90000000504	treatment_down	-1.2
ENSG90000000505	treatment_down	-1.2
ENSG90000000506	treatment_down	-1.2
ENSG90000000507	treatment_down	-1.2
ENSG90000000508	treatment_down	-1.2
ENSG90000000509	treatment_down	-1.2
ENSG90000000510	treatment_down	-1.2
ENSG90000000511	treatment_down	-1.2
ENSG90000000512	treatment_down	-1.2
ENSG90000000513	treatment_down	-1.2
ENSG90000000514	treatment_down	-1.2
ENSG90000000515	treatment_down	-1.2
ENSG90000000516	treatment_down	-1.2
ENSG90000000517	treatment_down	-1.2
ENSG90000000518	treatment_down	-1.2
ENSG90000000519	treatment_down	-1.2
ENSG90000000520	treatment_down	-1.2
ENSG90000000521	treatment_down	-1.2
ENSG90000000522	treatment_down	-1.2
ENSG90000000523	treatment_down	-1.2
ENSG90000000524	treatment_down	-1.2
ENSG90000000525	treatment_down	-1.2
ENSG90000000526	treatment_down	-1.2
ENSG90000000527	treatment_down	-1.2
ENSG90000000528	treatment_down	-1.2
ENSG90000000529	treatment_down	-1.2
ENSG90000000530	treatment_down	-1.2
ENSG90000000531	treatment_down	-1.2
ENSG90000000532	treatment_down	-1.2
ENSG90000000533	treatment_down	-1.2
ENSG90000000534	treatment_down	-1.2
ENSG90000000535	treatment_down	-1.2
ENSG90000000536	treatment_down	-1.2
ENSG90000000537	treatment_down	-1.2
ENSG90000000538	treatment_down	-1.2
ENSG90000000539	treatment_down	-1.2
ENSG90000000540	treatment_down	-1.2
ENSG90000000541	treatment_down	-1.2
ENSG90000000542	treatment_down	-1.2
ENSG90000000543	treatment_down	-1.2
ENSG90000000544	treatment_down	-1.2
ENSG90000000545	treatment_down	-1.2
ENSG90000000546	treatment_down	-1.2
ENSG90000000547	treatment_down	-1.2
ENSG90000000548	treatment_down	-1.2
ENSG90000000549	treatment_down	-1.2
ENSG90000000550	treatment_down	-1.2
ENSG90000000551	treatment_down	-1.2
ENSG90000000552	treatment_down	-1.2
ENSG90000000553	treatment_down	-1.2
ENSG90000000554	treatment_down	-1.2
ENSG90000000555	treatment_down	-1.2
ENSG90000000556	treatment_down	-1.2
ENSG90000000557	treatment_down	-1.2
ENSG90000000558	treatment_down	-1.2
ENSG90000000559	treatment_down	-1.2
ENSG90000000560	treatment_down	-1.2
ENSG90000000561	treatment_down	-1.2
ENSG90000000562	treatment_down	-1.2
ENSG90000000563	treatment_down	-1.2
ENSG90000000564	treatment_down	-1.2
ENSG90000000565	treatment_down	-1.2
ENSG90000000566	treatment_down	-1.2
ENSG90000000567	treatment_down	-1.2
ENSG90000000568	treatment_down	-1.2
ENSG90000000569	treatment_down	-1.2
ENSG90000000570	treatment_down	-1.2
ENSG90000000571	null_or_subject_noise	0.0
ENSG90000000572	null_or_subject_noise	0.0
ENSG90000000573	null_or_subject_noise	0.0
ENSG90000000574	null_or_subject_noise	0.0
ENSG90000000575	null_or_subject_noise	0.0
ENSG90000000576	null_or_subject_noise	0.0
ENSG90000000577	null_or_subject_noise	0.0
ENSG90000000578	null_or_subject_noise	0.0
ENSG90000000579	null_or_subject_noise	0.0
ENSG90000000580	null_or_subject_noise	0.0
ENSG90000000581	null_or_subject_noise	0.0
ENSG90000000582	null_or_subject_noise	0.0
ENSG90000000583	null_or_subject_noise	0.0
ENSG90000000584	null_or_subject_noise	0.0
ENSG90000000585	null_or_subject_noise	0.0
ENSG90000000586	null_or_subject_noise	0.0
ENSG90000000587	null_or_subject_noise	0.0
ENSG90000000588	null_or_subject_noise	0.0
ENSG90000000589	null_or_subject_noise	0.0
ENSG90000000590	null_or_subject_noise	0.0
ENSG90000000591	null_or_subject_noise	0.0
ENSG90000000592	null_or_subject_noise	0.0
ENSG90000000593	null_or_subject_noise	0.0
ENSG90000000594	null_or_subject_noise	0.0
ENSG90000000595	null_or_subject_noise	0.0
ENSG90000000596	null_or_subject_noise	0.0
ENSG90000000597	null_or_subject_noise	0.0
ENSG90000000598	null_or_subject_noise	0.0
ENSG90000000599	null_or_subject_noise	0.0
ENSG90000000600	null_or_subject_noise	0.0
ENSG90000000601	null_or_subject_noise	0.0
ENSG90000000602	null_or_subject_noise	0.0
ENSG90000000603	null_or_subject_noise	0.0
ENSG90000000604	null_or_subject_noise	0.0
ENSG90000000605	null_or_subject_noise	0.0
ENSG90000000606	null_or_subject_noise	0.0
ENSG90000000607	null_or_subject_noise	0.0
ENSG90000000608	null_or_subject_noise	0.0
ENSG90000000609	null_or_subject_noise	0.0
ENSG90000000610	null_or_subject_noise	0.0
ENSG90000000611	null_or_subject_noise	0.0
ENSG90000000612	null_or_subject_noise	0.0
ENSG90000000613	null_or_subject_noise	0.0
ENSG90000000614	null_or_subject_noise	0.0
ENSG90000000615	null_or_subject_noise	0.0
ENSG90000000616	null_or_subject_noise	0.0
ENSG90000000617	null_or_subject_noise	0.0
ENSG90000000618	null_or_subject_noise	0.0
ENSG90000000619	null_or_subject_noise	0.0
ENSG90000000620	null_or_subject_noise	0.0
ENSG90000000621	null_or_subject_noise	0.0
ENSG90000000622	null_or_subject_noise	0.0
ENSG90000000623	null_or_subject_noise	0.0
ENSG90000000624	null_or_subject_noise	0.0
ENSG90000000625	null_or_subject_noise	0.0
ENSG90000000626	null_or_subject_noise	0.0
ENSG90000000627	null_or_subject_noise	0.0
ENSG90000000628	null_or_subject_noise	0.0
ENSG90000000629	null_or_subject_noise	0.0
ENSG90000000630	null_or_subject_noise	0.0
ENSG90000000631	null_or_subject_noise	0.0
ENSG90000000632	null_or_subject_noise	0.0
ENSG90000000633	null_or_subject_noise	0.0
ENSG90000000634	null_or_subject_noise	0.0
ENSG90000000635	null_or_subject_noise	0.0
ENSG90000000636	null_or_subject_noise	0.0
ENSG90000000637	null_or_subject_noise	0.0
ENSG90000000638	null_or_subject_noise	0.0
ENSG90000000639	null_or_subject_noise	0.0
ENSG90000000640	null_or_subject_noise	0.0
ENSG90000000641	null_or_subject_noise	0.0
ENSG90000000642	null_or_subject_noise	0.0
ENSG90000000643	null_or_subject_noise	0.0
ENSG90000000644	null_or_subject_noise	0.0
ENSG90000000645	null_or_subject_noise	0.0
ENSG90000000646	null_or_subject_noise	0.0
ENSG90000000647	null_or_subject_noise	0.0
ENSG90000000648	null_or_subject_noise	0.0
ENSG90000000649	null_or_subject_noise	0.0
ENSG90000000650	null_or_subject_noise	0.0
ENSG90000000651	null_or_subject_noise	0.0
ENSG90000000652	null_or_subject_noise	0.0
ENSG90000000653	null_or_subject_noise	0.0
ENSG90000000654	null_or_subject_noise	0.0
ENSG90000000655	null_or_subject_noise	0.0
ENSG90000000656	null_or_subject_noise	0.0
ENSG90000000657	null_or_subject_noise	0.0
ENSG90000000658	null_or_subject_noise	0.0
ENSG90000000659	null_or_subject_noise	0.0
ENSG90000000660	null_or_subject_noise	0.0
ENSG90000000661	null_or_subject_noise	0.0
ENSG90000000662	null_or_subject_noise	0.0
ENSG90000000663	null_or_subject_noise	0.0
ENSG90000000664	null_or_subject_noise	0.0
ENSG90000000665	null_or_subject_noise	0.0
ENSG90000000666	null_or_subject_noise	0.0
ENSG90000000667	null_or_subject_noise	0.0
ENSG90000000668	null_or_subject_noise	0.0
ENSG90000000669	null_or_subject_noise	0.0
ENSG90000000670	null_or_subject_noise	0.0
ENSG90000000671	null_or_subject_noise	0.0
ENSG90000000672	null_or_subject_noise	0.0
ENSG90000000673	null_or_subject_noise	0.0
ENSG90000000674	null_or_subject_noise	0.0
ENSG90000000675	null_or_subject_noise	0.0
ENSG90000000676	null_or_subject_noise	0.0
ENSG90000000677	null_or_subject_noise	0.0
ENSG90000000678	null_or_subject_noise	0.0
ENSG90000000679	null_or_subject_noise	0.0
ENSG90000000680	null_or_subject_noise	0.0
ENSG90000000681	null_or_subject_noise	0.0
ENSG90000000682	null_or_subject_noise	0.0
ENSG90000000683	null_or_subject_noise	0.0
ENSG90000000684	null_or_subject_noise	0.0
ENSG90000000685	null_or_subject_noise	0.0
ENSG90000000686	null_or_subject_noise	0.0
ENSG90000000687	null_or_subject_noise	0.0
ENSG90000000688	null_or_subject_noise	0.0
ENSG90000000689	null_or_subject_noise	0.0
ENSG90000000690	null_or_subject_noise	0.0
ENSG90000000691	null_or_subject_noise	0.0
ENSG90000000692	null_or_subject_noise	0.0
ENSG90000000693	null_or_subject_noise	0.0
ENSG90000000694	null_or_subject_noise	0.0
ENSG90000000695	null_or_subject_noise	0.0
ENSG90000000696	null_or_subject_noise	0.0
